DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/01/2016,9:50,,,,,,,,73 AVENUE,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,3454728,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/01/2016,9:50,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3453352,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:50,,,,,,RICHMOND ROAD,TARGEE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454271,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:50,,,,,,41-18 56TH ST,56 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453995,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:46,,,,,,MAIN STREET,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3454727,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:45,QUEENS,11417,40.669946,-73.8426132,"(40.669946, -73.8426132)",,,150-19 CROSSBAY BLVD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453945,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:44,BRONX,10454,40.8016264,-73.9096721,"(40.8016264, -73.9096721)",EAST 136 STREET,WALNUT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453118,PASSENGER VEHICLE,OTHER,,,
06/01/2016,9:40,,,,,,NORTH CONDUIT AVENUE,140 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454133,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:37,BRONX,10466,40.8891934,-73.8312982,"(40.8891934, -73.8312982)",DYRE AVENUE,EAST 233 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455995,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:35,,,,,,AVERY AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454038,PASSENGER VEHICLE,,,,
06/01/2016,9:33,BROOKLYN,11217,40.6745081,-73.9734955,"(40.6745081, -73.9734955)",,,223 BERKELEY PLACE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453676,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
06/01/2016,9:30,,,,,,BELT PKWY,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,Unspecified,,3453944,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
06/01/2016,9:30,QUEENS,11361,40.7649726,-73.7777519,"(40.7649726, -73.7777519)",209 STREET,38 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454098,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:30,MANHATTAN,10019,40.7714641,-73.9943462,"(40.7714641, -73.9943462)",WEST 57 STREET,12 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455680,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:30,MANHATTAN,10019,40.7635447,-73.9851922,"(40.7635447, -73.9851922)",WEST 52 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455694,PASSENGER VEHICLE,OTHER,,,
06/01/2016,9:30,BROOKLYN,11239,40.6528929,-73.8667311,"(40.6528929, -73.8667311)",GATEWAY DRIVE,ERSKINE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3456265,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:30,BROOKLYN,11208,40.6649915,-73.8813883,"(40.6649915, -73.8813883)",,,805 CLEVELAND STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453631,PASSENGER VEHICLE,,,,
06/01/2016,9:27,,,,,,WALDO AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3456057,OTHER,PASSENGER VEHICLE,,,
06/01/2016,9:20,,,,,,103 AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3453813,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:20,,,,,,S/B ASHLAND PL,LAFAYETTE AVE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453743,OTHER,,,,
06/01/2016,9:20,,,,,,NORTHERN BOULEVARD,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454097,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:19,,,,,,,,WEST 141 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3455800,PASSENGER VEHICLE,BICYCLE,,,
06/01/2016,9:18,,,40.6544387,-73.8608315,"(40.6544387, -73.8608315)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454575,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/01/2016,9:15,,,,,,NAGLE AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3453094,OTHER,PASSENGER VEHICLE,,,
06/01/2016,9:14,,,,,,AMSTERDAM AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3452988,PASSENGER VEHICLE,OTHER,,,
06/01/2016,9:13,,,,,,,,EAST 88 STREET YORK AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454354,PASSENGER VEHICLE,OTHER,,,
06/01/2016,9:13,BRONX,10454,40.8043441,-73.9215703,"(40.8043441, -73.9215703)",BRUCKNER BOULEVARD,BROOK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3455868,PASSENGER VEHICLE,,,,
06/01/2016,9:10,STATEN ISLAND,10306,40.5550339,-74.1297557,"(40.5550339, -74.1297557)",HYLAN BOULEVARD,SPRATT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3454265,PASSENGER VEHICLE,,,,
06/01/2016,9:08,QUEENS,11368,40.7392896,-73.8528746,"(40.7392896, -73.8528746)",WALDRON STREET,108 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3454059,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
